months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,payment_Credit Card,payment_Mailed Check,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E
0.0,0,0.0941176470588235,0,0,1,0,0,0.0,1,0.2129353233830845,0.5,1,0,0,1,0,0,0,0,0,0,0
0.0,1,0.2,0,1,0,0,1,0.0,1,0.6208955223880598,0.5,1,1,0,0,1,0,0,0,0,0,1
0.25,1,0.611764705882353,0,0,0,0,1,0.0,1,0.7681592039800995,0.25,1,0,0,0,1,0,0,0,0,1,0
0.25,0,0.1411764705882353,0,1,1,0,1,0.0,1,0.7985074626865671,0.25,1,0,0,0,1,0,0,0,1,0,0
0.5,1,0.1647058823529411,0,0,0,0,1,0.0,1,0.5796019900497512,0.25,1,0,0,0,1,0,0,0,1,0,0
0.25,1,0.2117647058823529,0,0,1,0,0,0.0,1,0.5950248756218905,0.0,1,0,0,0,1,0,0,0,1,0,0
0.0,0,0.3529411764705882,0,0,0,0,1,0.0,1,0.5194029850746269,0.25,1,0,1,0,1,0,0,0,0,0,1
1.0,0,0.2823529411764706,0,1,1,0,1,0.0,1,0.2691542288557213,0.0,1,0,0,1,0,0,0,1,0,0,0
0.0,1,0.2235294117647058,0,0,0,0,1,0.0,1,0.5592039800995025,0.25,1,0,1,0,1,0,0,0,0,1,0
0.0,0,0.2117647058823529,1,0,0,0,0,0.0,0,0.5791044776119403,0.25,1,0,0,0,1,0,0,0,0,0,1
0.0,0,0.3411764705882353,0,1,0,0,0,0.0,1,0.763681592039801,0.0,1,0,0,0,1,0,0,0,0,1,0
0.0,0,0.3411764705882353,0,1,0,0,1,0.0,1,0.5587064676616916,0.0,1,0,0,0,1,0,0,0,0,1,0
0.0,0,0.1411764705882353,0,1,0,0,1,0.0,0,0.218407960199005,0.25,1,0,0,1,0,0,0,0,0,0,1
0.0,0,0.3294117647058823,0,0,1,0,1,0.0,1,0.2278606965174129,0.25,1,0,0,1,0,0,0,0,0,0,1
0.0,1,0.1294117647058823,0,1,1,0,0,0.0,1,0.882089552238806,0.0,1,0,0,0,0,0,0,0,0,1,0
0.25,0,0.1058823529411764,0,0,0,1,1,0.0,1,0.7582089552238807,0.0,1,0,0,0,1,0,0,0,0,1,0
0.0,0,0.0823529411764705,0,1,0,0,1,0.0,1,0.5597014925373134,0.25,1,0,0,0,1,0,0,0,0,0,0
0.25,1,0.1764705882352941,0,0,0,0,1,0.0,1,0.5756218905472636,0.25,1,0,0,0,1,0,0,0,1,0,0
0.0,1,0.0235294117647058,0,0,0,0,1,0.0,1,0.7681592039800995,0.5,1,0,0,0,1,0,0,0,0,0,1
0.5,1,0.1176470588235294,0,0,0,0,1,0.0,1,0.5636815920398011,0.25,1,0,0,0,1,0,0,0,1,0,0
0.25,0,0.1411764705882353,0,0,1,0,1,0.0,1,0.7452736318407961,0.25,1,0,0,0,0,0,0,0,1,0,0
0.75,1,0.0588235294117647,1,1,0,1,1,0.5,0,0.6388059701492538,0.0,1,0,0,1,0,0,0,1,0,0,0
0.0,0,0.1176470588235294,0,0,0,0,1,0.0,1,0.5184079601990049,0.5,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.0941176470588235,1,0,0,0,1,0.0,1,0.235323383084577,0.0,1,0,0,0,0,0,0,0,0,0,0
0.25,0,0.1529411764705882,1,0,0,0,0,0.0,0,0.1243781094527363,0.0,1,1,0,0,0,0,0,0,0,0,0
0.0,0,0.0,0,0,0,0,0,0.0,0,0.0169154228855721,0.0,1,0,1,0,0,1,0,0,0,0,0
0.75,1,0.3176470588235294,0,1,1,0,0,0.0,1,0.6686567164179105,0.0,1,0,0,0,1,0,0,1,0,0,0
0.0,1,0.1647058823529411,0,1,0,0,1,0.0,1,0.6278606965174128,0.0,1,0,0,0,1,0,0,0,0,0,1
0.0,0,0.2,0,0,1,0,0,0.0,1,0.5676616915422885,0.25,1,0,0,0,1,0,0,0,0,0,1
0.0,0,0.3058823529411765,0,1,0,0,1,0.0,0,0.1014925373134328,0.25,1,0,0,1,0,0,0,0,0,0,1
0.25,1,0.1411764705882353,0,1,1,0,0,0.0,1,0.7547263681592039,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,0.2588235294117647,0,0,0,0,1,0.0,1,0.5582089552238805,0.0,1,0,0,0,1,0,0,0,0,0,1
0.25,0,0.2941176470588235,1,0,0,0,1,0.0,1,0.5666666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0
0.0,1,0.2823529411764706,0,0,1,0,1,0.0,1,0.7059701492537314,0.0,1,0,0,0,0,0,0,0,0,0,0
0.0,1,0.2470588235294117,0,0,0,0,1,0.0,1,0.6711442786069651,0.0,1,0,0,0,1,0,0,0,0,0,0
1.0,1,0.3294117647058823,1,0,1,0,1,0.0,0,0.8656716417910447,0.0,1,0,0,0,1,0,0,1,0,0,0
0.75,1,0.1647058823529411,0,1,0,0,1,0.0,0,0.7144278606965173,0.25,1,1,0,0,1,0,0,1,0,0,0
0.5,1,0.0588235294117647,0,1,1,1,1,0.0,1,0.9203980099502488,0.25,1,0,0,0,1,0,0,1,0,0,0
0.75,1,0.1411764705882353,1,0,1,0,1,0.5,1,0.8587064676616915,0.0,1,0,0,0,1,0,0,1,0,0,0
0.25,1,0.1176470588235294,0,0,0,0,1,0.0,1,0.7592039800995024,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,0.2235294117647058,0,1,0,0,1,0.0,0,0.708955223880597,0.25,1,0,0,0,1,0,0,0,0,0,0
0.0,0,0.0,0,0,0,0,0,0.0,0,0.0139303482587064,0.25,1,0,0,0,0,1,0,0,0,0,0
0.75,0,0.2117647058823529,0,1,0,0,0,0.0,1,0.3074626865671641,0.25,1,0,0,1,0,0,0,0,0,0,0
0.0,0,0.3176470588235294,1,0,0,0,1,0.0,1,0.308457711442786,0.25,1,0,0,1,0,0,0,0,0,0,0
0.5,1,0.0941176470588235,0,0,0,0,1,0.0,1,0.7587064676616915,0.5,1,0,0,0,1,0,0,0,0,0,0
0.5,1,0.2235294117647058,1,1,1,0,1,0.0,0,0.7308457711442786,0.0,1,1,0,0,1,0,0,0,0,0,0
0.25,1,0.1529411764705882,0,0,1,0,0,0.0,1,0.7990049751243781,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.2352941176470588,1,1,1,0,1,0.5,1,0.9129353233830844,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,0.1294117647058823,0,0,0,0,1,0.0,1,0.7696517412935323,0.5,1,0,0,0,0,0,0,0,0,0,0
0.0,0,0.2117647058823529,0,0,0,0,1,0.0,1,0.6029850746268656,0.5,1,0,0,0,1,0,0,0,0,0,0
0.75,1,0.0823529411764705,0,0,1,0,0,0.5,1,0.8134328358208955,0.5,1,0,0,0,1,0,0,0,0,0,0
0.25,0,0.2823529411764706,0,1,0,0,1,0.0,1,0.5512437810945274,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,0.1764705882352941,0,0,1,0,1,0.0,1,0.818407960199005,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,0,0.2823529411764706,0,1,0,0,0,0.0,1,0.5432835820895522,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,0.0705882352941176,0,0,0,0,1,0.0,1,0.5502487562189055,0.25,1,0,0,0,1,0,0,0,0,0,0
